name,age,height_in,height_cm,ftp
Chris Paul,36,73,185.42,93.4
Damian Lillard,31,74,187.96,92.8
Danilo Gallinari,33,82,208.28,92.5
Stephen Curry,33,74,187.96,91.6
Kemba Walker,31,73,185.42,89.9
Khris Middleton,30,79,200.66,89.8
Jordan Clarkson,29,76,193.04,89.6
Tobias Harris,29,79,200.66,89.2
Carmelo Anthony,37,79,200.66,89
Bradley Beal,28,76,193.04,88.9
Trae Young,23,73,185.42,88.6
Fred VanVleet,27,73,185.42,88.5
Kevin Durant,33,82,208.28,88.2
Bojan Bogdanovic,32,79,200.66,87.9
Kyle Lowry,35,73,185.42,87.5
Norman Powell,28,75,190.5,87.1
Davis Bertans,28,82,208.28,87
Terrence Ross,30,78,198.12,87
Jayson Tatum,23,80,203.2,86.8
Nikola Jokic,26,83,210.82,86.8
Paul George,31,80,203.2,86.8
Devin Booker,25,77,195.58,86.7
Lou Williams,35,74,187.96,86.7
Ricky Rubio,31,74,187.96,86.7
Malcolm Brogdon,28,77,195.58,86.4
Jimmy Butler,32,79,200.66,86.3
James Harden,32,77,195.58,86.1
De'Andre Hunter,23,80,203.2,85.9
Joel Embiid,27,85,215.9,85.9
Karl-Anthony Towns,25,83,210.82,85.9
Kristaps Porzingis,26,87,220.98,85.5
Mike Conley,34,73,185.42,85.2
Malik Beasley,24,76,193.04,85
Zach LaVine,26,77,195.58,84.9
Darius Garland,21,73,185.42,84.8
Dennis Schroder,28,73,185.42,84.8
Brook Lopez,33,85,215.9,84.5
Donovan Mitchell,25,73,185.42,84.5
Jerami Grant,27,80,203.2,84.5
Saddiq Bey,22,79,200.66,84.4
Gordon Hayward,31,79,200.66,84.3
Devonte' Graham,26,73,185.42,84.2
Nikola Vucevic,31,82,208.28,84
Jaren Jackson Jr.,22,83,210.82,83.3
John Collins,24,81,205.74,83.3
Cole Anthony,21,75,190.5,83.2
Harrison Barnes,29,80,203.2,83
Shake Milton,25,77,195.58,83
Kelly Olynyk,30,83,210.82,82.9
Goran Dragic,35,75,190.5,82.8
Eric Gordon,32,75,190.5,82.5
Kevin Love,33,80,203.2,82.4
Gary Harris,27,76,193.04,82.1
Gabriel Deck,26,78,198.12,81.8
Cam Reddish,22,80,203.2,81.7
Terry Rozier,27,73,185.42,81.7
Tim Hardaway Jr.,29,77,195.58,81.6
Collin Sexton,22,73,185.42,81.5
CJ McCollum,30,75,190.5,81.2
Caris LeVert,27,78,198.12,81.1
Julius Randle,26,80,203.2,81.1
Shai Gilgeous-Alexander,23,78,198.12,80.8
Tyler Herro,21,77,195.58,80.3
Delon Wright,29,77,195.58,80.2
Bam Adebayo,24,81,205.74,79.9
Jalen Brunson,25,73,185.42,79.5
Richaun Holmes,28,82,208.28,79.4
Michael Porter Jr.,23,82,208.28,79.1
Marcus Smart,27,76,193.04,79
Ivica Zubac,24,85,215.9,78.9
Chris Boucher,28,81,205.74,78.8
Evan Fournier,29,78,198.12,78.8
Jrue Holiday,31,75,190.5,78.7
Will Barton,30,77,195.58,78.5
OG Anunoby,24,79,200.66,78.4
Kyle Anderson,28,81,205.74,78.3
Dwight Powell,30,82,208.28,78.2
Myles Turner,25,83,210.82,78.2
Anthony Edwards,20,76,193.04,77.6
Jeff Green,35,80,203.2,77.6
Enes Kanter,29,82,208.28,77.4
Jonas Valanciunas,29,83,210.82,77.3
Deandre Ayton,23,83,210.82,76.9
Oshae Brissett,23,79,200.66,76.9
D'Angelo Russell,25,76,193.04,76.5
Jaylen Brown,25,78,198.12,76.4
LaMelo Ball,20,79,200.66,75.8
Theo Maledon,20,76,193.04,74.8
P.J. Washington,23,79,200.66,74.5
Blake Griffin,32,81,205.74,74.4
Luguentz Dort,22,75,190.5,74.4
Anthony Davis,28,82,208.28,73.8
Kevin Porter Jr.,21,76,193.04,73.4
Domantas Sabonis,25,83,210.82,73.2
Wendell Carter Jr.,22,82,208.28,73.2
Luka Doncic,22,79,200.66,73
Josh Jackson,24,80,203.2,72.9
Ja Morant,22,75,190.5,72.8
Isaac Okoro,20,77,195.58,72.6
De'Aaron Fox,23,75,190.5,71.9
Cody Zeller,29,83,210.82,71.4
Montrezl Harrell,27,79,200.66,70.7
Jarrett Allen,23,82,208.28,70.3
Darius Bazley,21,80,203.2,70.2
LeBron James,36,81,205.74,69.8
Jae'Sean Tate,26,76,193.04,69.4
Naz Reid,22,81,205.74,69.3
David Nwaba,28,77,195.58,69.1
Giannis Antetokounmpo,26,83,210.82,68.5
Mason Plumlee,31,83,210.82,66.9
Daniel Gafford,23,81,205.74,66.7
Russell Westbrook,32,75,190.5,65.6
Aaron Gordon,26,80,203.2,65.1
Hamidou Diallo,23,77,195.58,64
Christian Wood,26,81,205.74,63.1
Rudy Gobert,29,85,215.9,62.3
Jusuf Nurkic,27,83,210.82,61.9
Moses Brown,22,86,218.44,61.9
Andre Drummond,28,82,208.28,60
Tristan Thompson,30,81,205.74,59.2
Dwight Howard,35,82,208.28,57.6
Marvin Bagley III,22,83,210.82,57.5
Clint Capela,27,82,208.28,57.3
Hassan Whiteside,32,85,215.9,51.9
Nic Claxton,22,83,210.82,48.4